R1;CUPS;Número (ID5);Póliza;Autoconsumo;CAU;Es servicios auxiliares;Coordenada X;Coordenada Y;Coordenada Z;Nudo;Provincia;Municipio;Parroquia/población;CT AA conectividad;Línea;Tramo;Fase;Tensión alimentación (kV);Tipo instalación (conexión);Pot. contratada (kW);Pot. máxima;Potencia instalada (adscrita) (kW);Tarifa;Tipo equipo medida;Fecha de instalación equipo de medida;Código CNAE;Casa cerrada;Fecha alta contrato;Fecha baja contrato;Observaciones;Coordenada X Z29;Coordenada Y Z29;Coordenada X Z31;Coordenada Y Z31;Sustituye a;Sustituido por;Inspección;CT AA manual;Excluido conectividad;Digitalizar;infra_id
R1-112;ES0157000040501136SQ;KAM0027612765;40501136;;;;335650,356;4082873,05;424;0484407829LB368775213;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000135;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870461,399;4089356,502;-199665,858;4110130,61;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501184VH;KAM0027594539;40501184;;;;335718,355;4082835,04;430;0484330744LB368771908;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000128;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870531,748;4089322,795;-199600,021;4110088,142;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501197HP0F;KAM0027594780;40501197;;;;335647,356;4082887,05;419;0484411497LB368776469;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000154;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870457,52;4089370,305;-199667,98;4110144,852;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501216LG0F;KAM0027594732;40501216;;;;335719,355;4082835,04;430;0484329622LB368771909;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000129;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870532,748;4089322,858;-199599,017;4110088,078;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501309TM0F;KAM0027594677;40501309;;;;335603,356;4082908,05;420;0484461299LB368778285;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000198;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870412,226;4089388,522;-199710,809;4110168,723;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501378AM;KAM0027614055;40501378;;;;335779,355;4082802,04;426;0484261617LB368769040;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000044;;0,23;Subterránea;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870594,788;4089293,655;-199540,89;4110051,147;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501379AY;KAM0019878251;40501379;;;;335775,355;4082806,04;422,068;0484266190LB368769394;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000043;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;22/08/2022 13:05;;;870590,538;4089297,401;-199544,651;4110055,416;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501381AP;KAM0027594421;40501381;;;;335779,355;4082800,04;426;0484261574LB368768860;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000057;;0,23;Subterránea;4,6;;;2.0TD;SMT;;9820;0;24/03/2022 8:43;;;870594,913;4089291,657;-199541,017;4110049,139;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501382AD;(error consulta Clientes);40501382;;;;335781,355;4082801,04;421,055;0484259352LB368768954;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000059;;0,23;Subterránea;0;;;;;;;;;;;870596,849;4089292,782;-199538,946;4110050,016;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501387AZ;KAM0026733865;40501387;;;;335765,355;4082814,04;430;0484277578LB368770097;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000012;;0,23;Subterránea;4,6;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870580,041;4089304,767;-199554,18;4110064,08;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501391AH0F;(error consulta Clientes);40501391;;;;335754,355;4082823,04;430;0484290110LB368770889;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000009;;0,23;Subterránea;0;;;;;;;;;;;870568,481;4089313,069;-199564,649;4110073,812;;;;CT28 DEPOSITO AGUA;;;
